Last Avg Tensiometer,Predicted Avg Tensiometer,Predicted Rain Amount,Predicted Max Temperature,Decision
752,614,3,28,Double Turn
504,463,28,30,Single Turn
742,545,19,23,Half Turn
410,476,2,30,Single Turn
607,498,23,23,Not Recommended
677,494,1,31,Single Turn
601,508,1,27,Single Turn
795,669,19,26,Not Recommended
784,324,25,19,Single Turn
715,365,1,29,Half Turn
670,277,2,23,Double Turn
581,523,2,26,Half Turn
597,405,19,29,Double Turn
658,517,1,29,Not Recommended
698,798,1,29,Single Turn
762,266,0,28,Not Recommended
594,344,22,33,Half Turn
705,440,2,29,Half Turn
601,506,-2,27,Half Turn
701,792,-1,27,Single Turn
692,491,0,21,Not Recommended
781,544,6,25,Half Turn
722,550,20,27,Not Recommended
552,670,19,27,Single Turn
685,863,12,27,Half Turn
705,405,2,30,Double Turn
589,781,-1,29,Single Turn
650,513,26,29,Not Recommended
661,481,20,27,Single Turn
682,759,21,33,Not Recommended
464,537,12,26,Half Turn
753,403,1,27,Half Turn
623,284,23,28,Not Recommended
244,446,-3,29,Not Recommended
664,609,1,26,Half Turn
358,92,8,33,Not Recommended
470,515,24,28,Single Turn
607,602,2,26,Not Recommended
495,471,26,25,Half Turn
525,460,1,35,Not Recommended
627,706,2,35,Half Turn
586,657,24,21,Double Turn
734,871,1,32,Not Recommended
611,488,30,33,Double Turn
562,509,2,27,Half Turn
293,767,16,28,Half Turn
480,291,16,25,Single Turn
714,477,2,26,Half Turn
774,548,19,24,Not Recommended
504,444,-2,28,Not Recommended
418,556,2,32,Single Turn
726,361,2,31,Single Turn
616,497,2,27,Not Recommended
727,714,0,28,Single Turn
490,539,12,27,Not Recommended
742,460,-1,26,Half Turn
783,347,13,21,Half Turn
549,521,7,22,Single Turn
365,297,1,23,Single Turn
727,724,-1,27,Not Recommended
364,448,24,28,Half Turn
598,784,23,26,Half Turn
170,565,2,32,Not Recommended
565,439,8,29,Single Turn
779,360,25,25,Not Recommended
640,112,5,30,Single Turn
594,754,3,31,Not Recommended
677,440,-3,29,Single Turn
510,261,0,26,Single Turn
574,347,2,23,Double Turn
433,407,1,24,Not Recommended
552,584,0,22,Half Turn
767,466,16,29,Not Recommended
721,511,21,37,Single Turn
563,761,23,27,Not Recommended
752,726,0,25,Single Turn
688,779,28,25,Single Turn
796,455,0,25,Not Recommended
692,460,-1,31,Not Recommended
612,363,2,34,Half Turn
746,371,15,29,Half Turn
586,468,1,29,Not Recommended
503,614,3,30,Single Turn
464,557,13,25,Half Turn
692,738,2,26,Double Turn
618,530,3,29,Half Turn
444,815,2,29,Not Recommended
722,417,14,20,Single Turn
747,469,2,25,Double Turn
680,471,0,26,Half Turn
748,492,29,29,Single Turn
393,539,14,28,Not Recommended
478,781,2,34,Not Recommended
542,487,0,30,Single Turn
743,479,1,31,Half Turn
506,542,31,25,Not Recommended
600,505,0,32,Single Turn
552,345,24,28,Half Turn
445,427,3,33,Single Turn
688,240,1,29,Single Turn
550,250,17,28,Single Turn
276,515,19,24,Single Turn
653,781,23,24,Half Turn
687,217,2,27,Half Turn
468,557,0,28,Single Turn
652,480,0,27,Half Turn
485,883,20,31,Not Recommended
458,-69,0,25,Single Turn
633,513,2,26,Single Turn
618,581,17,33,Half Turn
555,330,14,27,Double Turn
492,675,-2,27,Single Turn
304,484,12,23,Not Recommended
670,724,23,22,Half Turn
638,489,1,27,Not Recommended
476,590,14,29,Double Turn
607,574,20,24,Half Turn
402,671,23,27,Not Recommended
658,437,22,25,Not Recommended
430,510,19,27,Double Turn
544,858,-1,35,Double Turn
466,516,3,28,Not Recommended
497,463,1,26,Single Turn
581,676,2,29,Not Recommended
664,460,1,25,Single Turn
445,415,1,30,Half Turn
529,454,1,20,Not Recommended
385,773,25,28,Double Turn
476,529,2,31,Not Recommended
485,525,2,24,Half Turn
669,493,20,30,Not Recommended
782,757,26,33,Single Turn
649,519,20,31,Not Recommended
602,444,2,31,Not Recommended
758,584,16,25,Single Turn
543,497,1,27,Not Recommended
430,775,6,33,Not Recommended
757,721,1,21,Not Recommended
675,787,1,32,Double Turn
609,539,2,25,Double Turn
606,628,0,31,Single Turn
609,452,1,29,Half Turn
727,452,14,30,Not Recommended
740,681,0,31,Half Turn
464,480,28,33,Single Turn
370,449,12,32,Single Turn
543,320,18,26,Single Turn
519,614,14,28,Not Recommended
746,538,2,24,Single Turn
799,428,26,29,Not Recommended
232,186,21,31,Not Recommended
770,657,0,23,Not Recommended
309,448,2,28,Double Turn
520,424,0,29,Not Recommended
784,389,3,26,Double Turn
605,509,3,32,Single Turn
670,619,-2,30,Single Turn
357,568,13,28,Not Recommended
620,301,2,26,Single Turn
514,564,3,21,Single Turn
781,462,2,25,Half Turn
666,427,20,30,Half Turn
739,372,27,20,Half Turn
761,234,3,29,Single Turn
412,607,-1,30,Single Turn
787,654,2,30,Not Recommended
655,543,1,32,Single Turn
640,35,3,28,Half Turn
634,430,0,28,Not Recommended
670,378,3,26,Single Turn
513,434,0,31,Not Recommended
753,726,21,26,Single Turn
705,374,21,27,Not Recommended
605,664,7,29,Not Recommended
670,540,7,29,Single Turn
393,550,10,30,Half Turn
370,366,3,24,Half Turn
608,720,18,26,Not Recommended
492,508,1,27,Half Turn
657,381,0,33,Not Recommended
498,331,23,28,Not Recommended
471,805,24,23,Half Turn
449,422,1,23,Single Turn
664,526,28,28,Not Recommended
565,776,4,27,Half Turn
747,835,15,30,Not Recommended
566,725,2,26,Single Turn
631,692,0,29,Half Turn
556,519,4,32,Not Recommended
774,498,2,26,Half Turn
704,579,3,31,Not Recommended
452,160,8,27,Double Turn
600,554,3,33,Not Recommended
525,506,15,27,Single Turn
544,193,22,32,Not Recommended
576,219,4,26,Half Turn
578,550,17,28,Not Recommended
663,306,1,26,Double Turn
506,719,19,26,Half Turn
617,512,4,25,Single Turn
240,849,2,27,Not Recommended
296,542,-1,30,Half Turn
507,476,10,30,Not Recommended
513,567,11,34,Half Turn
778,533,2,29,Not Recommended
487,513,-1,27,Half Turn
372,463,0,32,Single Turn
738,189,16,27,Not Recommended
469,347,23,28,Not Recommended
582,131,2,29,Not Recommended
531,137,28,32,Double Turn
472,504,2,30,Half Turn
644,322,29,32,Half Turn
736,796,1,26,Double Turn
415,549,20,33,Half Turn
298,690,1,25,Not Recommended
283,815,24,25,Double Turn
737,509,0,26,Half Turn
468,662,21,25,Not Recommended
292,386,3,30,Not Recommended
700,756,-1,28,Single Turn
698,281,18,29,Not Recommended
571,445,0,23,Not Recommended
669,243,24,26,Not Recommended
114,385,2,29,Not Recommended
722,417,10,24,Not Recommended
501,482,0,24,Not Recommended
622,544,19,28,Half Turn
624,660,1,31,Half Turn
572,273,0,25,Single Turn
519,534,18,27,Not Recommended
422,122,23,28,Single Turn
620,373,3,18,Half Turn
317,656,1,24,Not Recommended
595,742,0,30,Not Recommended
719,333,30,23,Not Recommended
460,307,0,26,Single Turn
478,481,0,30,Not Recommended
523,529,0,24,Not Recommended
534,467,-1,34,Single Turn
645,655,25,27,Single Turn
687,476,1,24,Half Turn
394,460,13,27,Not Recommended
702,551,-1,26,Single Turn
425,788,-1,23,Not Recommended
653,432,3,29,Not Recommended
733,470,25,30,Not Recommended
519,461,2,27,Double Turn
704,746,0,36,Not Recommended
579,413,1,25,Single Turn
424,575,3,35,Half Turn
702,495,5,30,Single Turn
453,561,26,35,Not Recommended
629,54,2,29,Single Turn
389,487,26,30,Half Turn
693,560,2,34,Half Turn
653,385,-5,28,Single Turn
408,334,3,28,Half Turn
565,623,1,33,Not Recommended
575,418,-1,30,Single Turn
576,459,-1,35,Not Recommended
567,256,6,27,Single Turn
760,275,20,26,Half Turn
599,526,28,22,Not Recommended
632,413,30,29,Single Turn
227,407,1,26,Half Turn
613,404,28,28,Not Recommended
733,416,26,24,Half Turn
623,311,0,31,Not Recommended
645,467,10,27,Half Turn
659,480,21,34,Not Recommended
419,468,3,20,Single Turn
660,449,3,29,Single Turn
630,644,-1,35,Half Turn
536,626,31,29,Half Turn
705,708,3,24,Double Turn
620,602,1,26,Not Recommended
474,485,1,27,Not Recommended
638,360,3,32,Single Turn
608,660,1,29,Not Recommended
717,521,1,29,Not Recommended
446,722,12,28,Not Recommended
506,869,8,33,Double Turn
549,421,2,27,Double Turn
759,669,14,25,Single Turn
469,305,12,23,Half Turn
528,457,25,32,Single Turn
748,546,28,33,Half Turn
735,649,10,33,Half Turn
768,522,2,30,Not Recommended
520,428,16,27,Single Turn
635,554,18,29,Single Turn
586,529,0,30,Not Recommended
641,621,-1,28,Single Turn
744,290,19,32,Single Turn
727,616,1,21,Single Turn
721,808,3,25,Double Turn
502,353,20,31,Not Recommended
474,521,1,28,Double Turn
408,306,14,23,Not Recommended
565,416,14,29,Not Recommended
420,457,0,26,Single Turn
542,640,5,28,Not Recommended
629,818,19,27,Half Turn
569,493,2,21,Single Turn
718,494,1,30,Not Recommended
728,704,25,25,Double Turn
767,453,15,28,Half Turn
674,357,22,25,Double Turn
662,351,17,27,Not Recommended
690,352,28,30,Single Turn
619,489,-2,28,Not Recommended
543,393,1,34,Single Turn
319,740,26,30,Single Turn
663,786,24,28,Half Turn
710,113,11,27,Not Recommended
459,593,9,21,Single Turn
484,542,21,29,Not Recommended
457,222,3,32,Double Turn
620,536,-1,28,Half Turn
545,450,25,25,Not Recommended
523,735,-1,21,Half Turn
329,525,-1,30,Not Recommended
748,403,9,30,Single Turn
576,437,17,25,Single Turn
691,424,7,26,Half Turn
772,355,21,20,Not Recommended
664,437,2,22,Not Recommended
479,757,2,27,Single Turn
770,402,15,26,Not Recommended
532,514,22,26,Single Turn
608,279,3,24,Single Turn
650,298,3,28,Half Turn
740,522,23,22,Double Turn
814,780,24,26,Single Turn
605,366,2,28,Not Recommended
769,512,3,26,Half Turn
491,531,-1,26,Half Turn
391,396,2,29,Single Turn
290,418,26,30,Single Turn
267,302,-3,23,Not Recommended
391,725,20,26,Not Recommended
661,384,20,33,Not Recommended
307,507,16,29,Single Turn
715,648,17,25,Half Turn
599,541,1,21,Not Recommended
710,368,2,35,Half Turn
559,420,23,27,Half Turn
711,471,-1,32,Not Recommended
324,515,2,31,Not Recommended
412,681,3,29,Not Recommended
513,501,1,29,Half Turn
753,601,24,31,Double Turn
604,692,1,20,Single Turn
673,344,3,32,Single Turn
463,503,17,27,Half Turn
603,458,25,35,Double Turn
513,479,27,29,Not Recommended
565,476,0,28,Half Turn
615,542,-1,25,Single Turn
746,488,3,26,Single Turn
595,450,2,26,Not Recommended
754,191,20,26,Not Recommended
569,546,21,26,Half Turn
521,524,9,25,Half Turn
755,509,2,21,Double Turn
751,400,22,30,Half Turn
451,722,0,25,Not Recommended
334,839,2,26,Single Turn
557,376,11,29,Half Turn
756,630,1,27,Half Turn
279,547,17,23,Half Turn
755,665,2,24,Not Recommended
742,600,2,32,Single Turn
620,587,9,21,Half Turn
606,541,-2,34,Half Turn
699,330,25,26,Double Turn
741,410,27,26,Single Turn
680,305,2,26,Double Turn
471,517,12,28,Half Turn
463,417,3,26,Half Turn
163,655,0,25,Not Recommended
783,652,18,23,Not Recommended
566,387,21,32,Single Turn
631,548,20,32,Half Turn
691,300,3,27,Half Turn
418,810,23,26,Single Turn
550,324,15,24,Half Turn
614,562,-1,26,Not Recommended
687,432,-2,22,Half Turn
432,491,0,37,Single Turn
248,170,2,29,Double Turn
662,525,14,31,Not Recommended
526,478,2,26,Double Turn
512,486,-2,35,Not Recommended
488,347,3,21,Not Recommended
534,725,-1,30,Half Turn
481,334,1,25,Single Turn
716,260,2,27,Not Recommended
381,493,1,36,Not Recommended
663,300,2,29,Not Recommended
439,338,3,20,Not Recommended
756,574,27,28,Single Turn
573,720,20,30,Not Recommended
712,328,2,29,Not Recommended
508,297,1,25,Not Recommended
469,438,24,26,Single Turn
723,738,0,26,Single Turn
616,719,2,31,Not Recommended
458,593,2,26,Not Recommended
658,511,23,25,Single Turn
612,189,23,27,Double Turn
477,589,11,28,Single Turn
762,422,14,33,Not Recommended
598,117,2,25,Single Turn
622,302,0,28,Single Turn
625,440,0,24,Not Recommended
596,795,5,30,Single Turn
510,547,0,21,Single Turn
650,305,10,25,Double Turn
645,578,17,29,Single Turn
671,416,20,23,Single Turn
760,222,29,27,Single Turn
555,417,3,27,Double Turn
682,430,12,28,Single Turn
731,642,3,24,Half Turn
531,401,1,26,Half Turn
373,531,-1,31,Not Recommended
717,790,-1,33,Not Recommended
749,275,30,33,Single Turn
710,305,7,20,Double Turn
300,554,-1,29,Half Turn
756,520,2,29,Single Turn
639,705,13,35,Double Turn
763,337,15,31,Half Turn
707,652,1,29,Double Turn
345,558,0,33,Single Turn
697,348,28,26,Not Recommended
566,663,-1,21,Single Turn
553,438,3,21,Half Turn
726,778,1,31,Half Turn
420,417,3,22,Double Turn
753,452,2,24,Half Turn
677,456,24,26,Single Turn
643,277,1,22,Single Turn
624,375,2,26,Half Turn
660,802,-1,37,Double Turn
707,424,16,22,Single Turn
570,161,-2,24,Not Recommended
661,558,-1,22,Not Recommended
255,463,5,26,Single Turn
641,604,18,30,Half Turn
413,498,13,24,Single Turn
395,633,16,25,Half Turn
632,451,22,37,Single Turn
461,500,20,31,Not Recommended
608,550,27,29,Single Turn
619,552,29,34,Single Turn
596,488,0,24,Not Recommended
357,531,23,27,Half Turn
513,515,0,23,Not Recommended
588,649,1,23,Single Turn
790,318,18,24,Not Recommended
459,556,16,26,Double Turn
632,481,8,26,Single Turn
537,406,21,31,Single Turn
762,485,0,34,Half Turn
718,291,28,27,Half Turn
749,398,0,21,Half Turn
760,356,2,28,Not Recommended
735,641,12,35,Single Turn
423,681,0,23,Not Recommended
420,553,1,31,Not Recommended
653,524,-2,30,Half Turn
618,577,2,36,Half Turn
309,525,0,36,Double Turn
715,690,3,28,Half Turn
711,286,16,29,Single Turn
600,421,12,27,Not Recommended
819,517,19,33,Not Recommended
506,498,0,27,Not Recommended
309,392,1,32,Not Recommended
561,503,12,29,Not Recommended
513,731,2,24,Not Recommended
452,730,0,27,Single Turn
625,494,5,28,Not Recommended
699,706,1,26,Double Turn
711,504,1,28,Single Turn
431,512,1,31,Not Recommended
692,497,2,33,Single Turn
635,823,18,20,Not Recommended
666,594,2,32,Not Recommended
702,551,28,29,Half Turn
603,668,2,30,Not Recommended
720,562,3,34,Double Turn
751,-61,18,25,Half Turn
694,669,2,21,Not Recommended
565,458,19,35,Not Recommended
528,470,2,29,Single Turn
560,784,12,20,Not Recommended
527,462,3,25,Half Turn
381,525,16,36,Not Recommended
394,278,16,28,Not Recommended
417,331,18,29,Not Recommended
414,749,11,28,Half Turn
664,815,2,24,Single Turn
619,442,30,26,Not Recommended
623,451,26,35,Half Turn
469,581,3,29,Half Turn
675,537,2,21,Half Turn
504,607,13,29,Double Turn
423,759,2,26,Not Recommended
545,396,0,30,Not Recommended
687,516,21,25,Double Turn
670,618,-2,26,Single Turn
386,483,3,23,Not Recommended
552,493,19,26,Single Turn
396,351,3,32,Single Turn
710,184,-1,24,Double Turn
373,799,22,23,Half Turn
480,471,0,25,Half Turn
381,717,20,25,Not Recommended
541,422,6,33,Half Turn
732,762,3,29,Double Turn
702,340,9,23,Not Recommended
718,870,25,24,Not Recommended
620,525,3,28,Single Turn
639,446,4,24,Half Turn
509,610,13,29,Single Turn
583,554,2,30,Single Turn
576,264,3,23,Not Recommended
676,423,20,30,Single Turn
532,456,3,25,Double Turn
683,742,22,29,Double Turn
582,518,2,25,Single Turn
504,478,1,21,Not Recommended
461,543,16,30,Not Recommended
723,370,2,26,Single Turn
613,822,0,28,Half Turn
760,53,4,20,Not Recommended
638,487,24,31,Not Recommended
428,655,-1,36,Not Recommended
599,518,14,27,Double Turn
724,523,0,28,Half Turn
486,475,0,30,Double Turn
731,382,6,29,Half Turn
473,786,1,31,Not Recommended
454,735,20,28,Single Turn
476,83,1,31,Not Recommended
549,595,20,26,Half Turn
388,395,1,35,Single Turn
611,169,16,28,Not Recommended
604,733,27,30,Single Turn
711,126,3,27,Half Turn
473,413,2,24,Half Turn
493,249,11,27,Not Recommended
614,765,2,33,Single Turn
497,434,0,26,Half Turn
701,760,-2,32,Single Turn
475,458,1,28,Not Recommended
676,820,12,28,Not Recommended
575,428,2,20,Not Recommended
622,711,2,23,Half Turn
661,378,4,27,Not Recommended
268,892,-2,19,Half Turn
401,469,1,28,Single Turn
552,415,4,28,Not Recommended
437,375,15,28,Not Recommended
719,430,26,28,Not Recommended
721,401,24,22,Single Turn
680,662,18,26,Single Turn
633,698,1,29,Not Recommended
384,713,19,25,Double Turn
436,470,6,35,Half Turn
701,453,3,21,Double Turn
772,397,0,30,Not Recommended
794,162,5,24,Single Turn
689,396,2,27,Not Recommended
668,669,2,31,Double Turn
673,549,3,24,Single Turn
632,488,-2,22,Not Recommended
668,359,26,30,Single Turn
776,424,27,27,Not Recommended
533,263,16,32,Half Turn
624,565,1,20,Double Turn
406,482,19,26,Not Recommended
320,465,1,27,Single Turn
627,343,2,31,Single Turn
704,285,18,28,Not Recommended
710,209,3,28,Not Recommended
532,655,14,25,Not Recommended
394,353,2,35,Half Turn
556,828,24,25,Double Turn
565,625,-1,27,Not Recommended
384,578,2,25,Not Recommended
736,348,24,29,Single Turn
332,503,11,35,Single Turn
763,844,8,22,Not Recommended
732,820,25,29,Single Turn
632,521,13,26,Half Turn
711,318,27,26,Half Turn
359,183,13,32,Double Turn
620,670,26,28,Half Turn
741,694,3,25,Not Recommended
541,599,18,30,Single Turn
608,405,3,24,Not Recommended
777,377,2,26,Single Turn
493,542,3,23,Half Turn
530,746,3,30,Half Turn
343,722,22,31,Half Turn
625,436,1,29,Not Recommended
407,408,27,29,Single Turn
594,482,2,25,Double Turn
582,503,3,24,Not Recommended
418,708,2,27,Not Recommended
592,389,0,30,Not Recommended
727,768,19,26,Double Turn
453,746,1,31,Not Recommended
392,735,1,22,Double Turn
773,480,31,32,Not Recommended
731,621,-1,33,Not Recommended
725,474,-1,26,Not Recommended
329,454,7,25,Not Recommended
760,546,2,26,Single Turn
485,440,0,26,Half Turn
740,481,1,27,Half Turn
359,483,0,25,Half Turn
676,518,1,35,Double Turn
575,607,2,29,Not Recommended
607,355,2,33,Half Turn
740,483,2,33,Not Recommended
591,206,28,35,Half Turn
515,508,-1,24,Single Turn
656,544,4,27,Not Recommended
593,840,2,23,Not Recommended
700,807,20,27,Not Recommended
496,624,3,32,Not Recommended
426,488,9,34,Not Recommended
753,538,26,23,Single Turn
694,562,2,28,Single Turn
712,482,28,23,Not Recommended
604,463,1,29,Not Recommended
745,732,3,24,Not Recommended
667,852,0,26,Not Recommended
517,479,16,30,Single Turn
693,552,3,20,Not Recommended
788,532,4,25,Half Turn
703,625,2,33,Double Turn
486,408,24,32,Single Turn
637,352,0,35,Half Turn
710,415,-1,27,Double Turn
776,520,27,26,Single Turn
458,426,22,29,Double Turn
700,586,-1,36,Half Turn
239,579,12,25,Half Turn
718,377,3,31,Single Turn
668,440,1,32,Half Turn
436,681,1,29,Double Turn
563,427,2,26,Not Recommended
604,462,-1,32,Not Recommended
755,512,20,31,Double Turn
282,409,24,26,Not Recommended
391,516,2,28,Double Turn
632,550,-1,29,Double Turn
717,579,1,27,Half Turn
679,565,24,25,Half Turn
307,621,23,28,Half Turn
576,263,16,28,Single Turn
684,678,23,21,Half Turn
573,500,-1,28,Single Turn
382,556,0,29,Half Turn
770,404,25,24,Double Turn
376,291,0,36,Not Recommended
625,504,0,28,Not Recommended
585,576,3,33,Not Recommended
719,726,0,22,Half Turn
754,378,16,31,Single Turn
502,113,16,31,Not Recommended
627,481,28,30,Half Turn
512,550,27,26,Half Turn
394,570,1,31,Half Turn
698,577,14,23,Single Turn
609,485,8,25,Double Turn
631,456,16,35,Not Recommended
624,439,30,31,Not Recommended
623,614,17,25,Not Recommended
532,469,15,21,Not Recommended
665,498,12,29,Not Recommended
627,543,1,30,Single Turn
192,490,1,33,Not Recommended
657,365,3,32,Not Recommended
694,461,23,32,Not Recommended
514,539,1,32,Single Turn
430,580,14,28,Not Recommended
511,526,28,35,Single Turn
683,364,2,20,Not Recommended
776,313,13,26,Not Recommended
766,443,2,33,Single Turn
659,218,1,24,Not Recommended
734,492,24,31,Not Recommended
228,428,2,22,Not Recommended
319,499,3,32,Double Turn
611,359,8,29,Single Turn
755,404,1,24,Half Turn
798,676,-3,28,Not Recommended
686,729,25,20,Single Turn
603,435,2,26,Single Turn
588,340,2,27,Double Turn
709,530,3,25,Not Recommended
740,436,4,25,Half Turn
599,497,3,25,Double Turn
640,252,0,22,Not Recommended
476,901,13,28,Half Turn
708,431,27,20,Single Turn
580,533,20,29,Half Turn
194,575,28,29,Not Recommended
748,426,0,29,Not Recommended
741,300,1,30,Double Turn
448,429,2,28,Double Turn
667,555,2,33,Not Recommended
435,595,2,26,Not Recommended
753,112,4,24,Not Recommended
789,383,25,29,Half Turn
569,682,2,29,Single Turn
738,577,26,29,Single Turn
711,490,-2,22,Not Recommended
483,390,14,27,Single Turn
711,536,2,19,Single Turn
675,680,0,26,Single Turn
162,424,0,30,Half Turn
397,114,26,29,Double Turn
599,323,1,26,Not Recommended
732,353,0,25,Half Turn
518,646,27,30,Double Turn
674,371,7,32,Half Turn
700,370,20,36,Double Turn
531,719,6,27,Half Turn
607,539,12,29,Half Turn
494,445,0,25,Single Turn
675,822,2,29,Double Turn
691,449,22,20,Not Recommended
637,400,2,34,Double Turn
738,642,29,21,Single Turn
237,836,-2,25,Half Turn
656,448,16,27,Half Turn
587,531,24,33,Double Turn
560,564,17,25,Not Recommended
398,483,25,21,Not Recommended
384,769,17,24,Single Turn
786,479,25,30,Double Turn
716,406,10,26,Half Turn
252,421,25,24,Not Recommended
397,338,28,26,Single Turn
742,530,22,29,Not Recommended
627,437,-3,27,Not Recommended
385,242,3,24,Single Turn
776,478,23,27,Not Recommended
397,392,21,29,Half Turn
570,572,24,34,Single Turn
641,431,2,27,Half Turn
663,613,-2,29,Single Turn
586,821,-1,28,Not Recommended
750,166,11,23,Not Recommended
718,695,20,26,Single Turn
676,606,-1,31,Double Turn
619,477,0,26,Not Recommended
382,628,1,38,Half Turn
765,351,24,23,Not Recommended
735,517,0,30,Half Turn
634,509,3,27,Single Turn
507,265,22,27,Single Turn
332,408,1,27,Single Turn
614,728,6,28,Half Turn
726,685,3,27,Half Turn
380,533,2,33,Double Turn
342,422,2,27,Half Turn
509,394,1,21,Double Turn
563,546,-2,31,Single Turn
719,586,25,30,Half Turn
792,474,0,26,Double Turn
326,661,0,33,Not Recommended
647,515,1,32,Single Turn
727,430,21,27,Single Turn
601,365,7,21,Single Turn
582,672,-1,35,Single Turn
682,405,17,30,Single Turn
604,248,16,21,Single Turn
588,446,8,34,Not Recommended
583,504,1,27,Single Turn
689,47,3,19,Not Recommended
620,370,16,28,Not Recommended
505,518,-1,35,Double Turn
697,511,20,28,Half Turn
570,460,10,30,Half Turn
762,725,1,31,Double Turn
576,64,23,27,Not Recommended
775,378,4,34,Half Turn
703,426,1,22,Single Turn
776,237,1,21,Not Recommended
702,499,19,30,Single Turn
474,794,25,30,Double Turn
525,804,0,30,Double Turn
732,697,1,26,Not Recommended
442,386,1,23,Not Recommended
434,535,12,23,Half Turn
505,467,14,25,Not Recommended
384,231,3,31,Half Turn
390,497,22,27,Not Recommended
423,471,2,25,Single Turn
346,511,26,26,Double Turn
571,481,1,27,Half Turn
696,660,30,25,Not Recommended
441,224,23,34,Single Turn
467,372,1,27,Single Turn
452,408,19,26,Single Turn
763,767,1,27,Not Recommended
561,435,10,26,Single Turn
650,408,2,32,Single Turn
697,659,2,28,Not Recommended
465,327,3,24,Single Turn
435,474,-2,29,Single Turn
698,512,10,23,Double Turn
542,566,5,31,Double Turn
426,801,1,24,Half Turn
595,352,0,26,Double Turn
568,607,18,29,Single Turn
670,429,19,20,Not Recommended
515,453,1,27,Double Turn
577,766,1,27,Not Recommended
665,404,27,29,Half Turn
292,319,26,30,Not Recommended
608,658,-2,21,Single Turn
398,735,26,21,Double Turn
736,609,22,30,Not Recommended
658,571,28,30,Half Turn
550,756,23,26,Single Turn
762,538,0,32,Single Turn
774,540,24,24,Not Recommended
792,523,23,31,Not Recommended
564,576,1,28,Not Recommended
543,365,1,29,Single Turn
495,451,15,25,Single Turn
695,488,0,28,Single Turn
496,595,0,30,Double Turn
741,742,17,33,Single Turn
684,279,3,24,Not Recommended
765,668,3,21,Not Recommended
514,763,3,27,Half Turn
647,652,-2,28,Double Turn
733,519,0,25,Not Recommended
679,514,30,30,Half Turn
649,396,4,33,Single Turn
662,539,1,32,Half Turn
412,402,1,34,Single Turn
752,561,1,24,Double Turn
737,458,8,25,Not Recommended
619,706,-2,25,Not Recommended
754,675,0,24,Not Recommended
671,601,2,32,Not Recommended
776,372,22,26,Single Turn
511,437,3,21,Not Recommended
659,151,2,33,Not Recommended
357,469,6,31,Not Recommended
454,566,26,31,Not Recommended
708,441,11,30,Half Turn
731,364,0,30,Half Turn
603,261,1,25,Not Recommended
679,699,28,30,Single Turn
749,541,17,30,Not Recommended
534,801,0,37,Double Turn
524,378,-1,29,Single Turn
695,770,6,32,Not Recommended
791,471,3,29,Half Turn
719,236,13,26,Single Turn
574,531,28,23,Double Turn
720,374,16,28,Not Recommended
668,417,2,31,Half Turn
746,363,18,22,Half Turn
776,544,19,30,Not Recommended
613,198,1,25,Not Recommended
563,478,1,24,Single Turn
487,481,1,30,Double Turn
457,440,25,30,Half Turn
727,613,3,38,Single Turn
402,242,26,23,Half Turn
461,388,0,31,Not Recommended
653,521,0,32,Not Recommended
600,211,2,28,Single Turn
687,654,26,30,Not Recommended
701,588,2,26,Not Recommended
397,-25,30,29,Not Recommended
467,728,21,24,Not Recommended
328,246,3,31,Half Turn
782,469,28,29,Single Turn
400,397,29,23,Not Recommended
661,659,4,26,Not Recommended
611,467,1,29,Double Turn
551,502,27,32,Double Turn
757,530,21,35,Not Recommended
565,289,18,31,Single Turn
712,622,14,26,Single Turn
584,799,11,26,Not Recommended
292,480,15,22,Double Turn
478,644,3,28,Not Recommended
686,381,12,28,Not Recommended
575,471,10,29,Not Recommended
654,858,21,27,Not Recommended
778,345,6,30,Double Turn
472,790,-1,26,Not Recommended
670,536,1,26,Single Turn
652,708,22,24,Not Recommended
691,620,0,33,Half Turn
506,469,17,30,Single Turn
506,438,3,31,Double Turn
468,493,24,27,Single Turn
272,344,14,28,Double Turn
487,660,3,30,Not Recommended
473,447,15,27,Single Turn
770,369,18,33,Not Recommended
416,369,2,32,Half Turn
111,696,3,28,Half Turn
719,527,1,25,Single Turn
658,360,4,29,Single Turn
358,217,0,26,Single Turn
761,636,24,26,Not Recommended
296,152,29,25,Single Turn
428,749,2,26,Single Turn
324,467,0,28,Single Turn
657,508,2,28,Single Turn
680,466,24,32,Half Turn
569,710,9,31,Single Turn
475,392,3,26,Single Turn
646,725,13,24,Half Turn
698,471,24,25,Half Turn
520,473,2,27,Not Recommended
607,677,1,29,Half Turn
751,362,2,25,Not Recommended
661,577,3,24,Not Recommended
677,221,27,26,Not Recommended
640,122,28,35,Single Turn
105,385,16,25,Not Recommended
374,503,20,29,Single Turn
692,95,18,25,Not Recommended
598,759,4,27,Single Turn
693,462,24,24,Not Recommended
694,278,7,31,Not Recommended
179,542,12,30,Not Recommended
691,470,23,32,Not Recommended
726,491,7,27,Not Recommended
577,430,1,29,Not Recommended
630,699,21,32,Half Turn
785,471,0,27,Half Turn
526,472,1,32,Double Turn
659,451,16,25,Single Turn
737,353,-7,25,Double Turn
533,522,-2,35,Half Turn
414,338,-1,29,Half Turn
769,793,2,25,Single Turn
383,424,2,29,Not Recommended
421,655,3,29,Not Recommended
765,766,2,34,Not Recommended
645,411,1,28,Half Turn
661,476,1,22,Single Turn
537,387,2,33,Single Turn
670,846,0,28,Not Recommended
